repository	stratum	included_files	included_bytes	line_count	token_count	vocabulary_size	mean_tokens_per_file_ci	uncertainty_scope
lte-workstation	c	58	247140	8757	32116	3024	{"estimate":553.7241379310345,"lower":311.2241379310345,"method":"percentile bootstrap over files within repository","n":58,"rounds":2000,"seed":20261000,"upper":836.6379310344828}	within-repository language-stratum file resampling only
lte-workstation	json	3	1669	50	159	90	{"estimate":53.0,"lower":19.0,"method":"percentile bootstrap over files within repository","n":3,"rounds":2000,"seed":20261001,"upper":96.0}	within-repository language-stratum file resampling only
lte-workstation	make	1	973	38	178	54	{"estimate":178.0,"lower":178.0,"method":"percentile bootstrap over files within repository","n":1,"rounds":2000,"seed":20261002,"upper":178.0}	within-repository language-stratum file resampling only
lte-workstation	markdown	478	4537573	71140	656841	21083	{"estimate":1374.1443514644352,"lower":1284.0167364016736,"method":"percentile bootstrap over files within repository","n":478,"rounds":2000,"seed":20261003,"upper":1475.1589958158995}	within-repository language-stratum file resampling only
lte-workstation	python	10	107486	2008	12155	2057	{"estimate":1215.5,"lower":753.5,"method":"percentile bootstrap over files within repository","n":10,"rounds":2000,"seed":20261004,"upper":1723.3}	within-repository language-stratum file resampling only
lte-workstation	shell	21	213171	3538	29793	3482	{"estimate":1418.7142857142858,"lower":781.7142857142857,"method":"percentile bootstrap over files within repository","n":21,"rounds":2000,"seed":20261005,"upper":2399.4761904761904}	within-repository language-stratum file resampling only
lte-workstation	swift	1	2498	66	299	131	{"estimate":299.0,"lower":299.0,"method":"percentile bootstrap over files within repository","n":1,"rounds":2000,"seed":20261006,"upper":299.0}	within-repository language-stratum file resampling only
lte-workstation	text	1	2310	40	330	169	{"estimate":330.0,"lower":330.0,"method":"percentile bootstrap over files within repository","n":1,"rounds":2000,"seed":20261007,"upper":330.0}	within-repository language-stratum file resampling only
lte-workstation	tsv	2	69670	251	9545	628	{"estimate":4772.5,"lower":786.0,"method":"percentile bootstrap over files within repository","n":2,"rounds":2000,"seed":20261008,"upper":8759.0}	within-repository language-stratum file resampling only
lte-workstation	typescript	4	8988	184	1154	356	{"estimate":288.5,"lower":225.5,"method":"percentile bootstrap over files within repository","n":4,"rounds":2000,"seed":20261009,"upper":361.5}	within-repository language-stratum file resampling only
lte-workstation	yaml	1	1036	25	129	80	{"estimate":129.0,"lower":129.0,"method":"percentile bootstrap over files within repository","n":1,"rounds":2000,"seed":20261010,"upper":129.0}	within-repository language-stratum file resampling only
tiny-fleet	json	3	10313	334	781	369	{"estimate":260.3333333333333,"lower":82.0,"method":"percentile bootstrap over files within repository","n":3,"rounds":2000,"seed":20261011,"upper":617.0}	within-repository language-stratum file resampling only
tiny-fleet	markdown	13	69459	1618	9092	1767	{"estimate":699.3846153846154,"lower":466.2307692307692,"method":"percentile bootstrap over files within repository","n":13,"rounds":2000,"seed":20261012,"upper":975.6153846153846}	within-repository language-stratum file resampling only
tiny-fleet	python	9	64672	1397	6684	1392	{"estimate":742.6666666666666,"lower":451.1111111111111,"method":"percentile bootstrap over files within repository","n":9,"rounds":2000,"seed":20261013,"upper":1215.7777777777778}	within-repository language-stratum file resampling only
tiny-fleet	text	1	73	2	9	9	{"estimate":9.0,"lower":9.0,"method":"percentile bootstrap over files within repository","n":1,"rounds":2000,"seed":20261014,"upper":9.0}	within-repository language-stratum file resampling only
